nct_id,title,status,risk_label,risk_group,phase,study_type,sponsor_class,sex,enrollment_type,enrollment_count,log_enrollment_count,num_conditions,num_interventions,num_locations,num_countries,eligibility_text_length,brief_summary_length,start_year,has_placebo,adult_only,phase_missing,maximum_age_missing,locations_missing,interventions_missing
NCT02274935,Cognitive Motor Interference Rehabilitation in Persons With Multiple Sclerosis,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,OTHER,ALL,ACTUAL,20.0,3.044522437723423,1,1,1,1,606,123,2014.0,0,1,1,0,0,0
NCT06217978,The Image Characteristics of Epiploic Appendagitis on Ultrasound and Computed Tomography,COMPLETED,0,low risk,MISSING,OBSERVATIONAL,OTHER,ALL,ACTUAL,100.0,4.61512051684126,1,0,1,1,221,1428,2021.0,0,1,1,0,0,0
NCT01674985,Microtransplantation With Decitabine and Cytarabine Improves Patient Outcomes in Myelodysplastic Syndromes,COMPLETED,0,low risk,PHASE1; PHASE2,INTERVENTIONAL,OTHER,ALL,ACTUAL,43.0,3.784189633918261,1,1,1,1,478,246,2009.0,0,0,0,0,0,0
NCT01772485,Online Neuroplasticity Training for Remediation of ADHD in Adolescent Children (ONTRAC),COMPLETED,0,low risk,MISSING,INTERVENTIONAL,INDUSTRY,ALL,ACTUAL,31.0,3.4657359027997265,1,2,1,1,597,352,2013.0,0,0,1,0,0,0
NCT02101385,Randomized Controlled Trial of Genomically Directed Therapy in Patients With Triple Negative Breast Cancer,COMPLETED,0,low risk,PHASE2,INTERVENTIONAL,OTHER,ALL,ACTUAL,193.0,5.267858159063328,2,2,29,1,7849,171,2014.0,0,1,0,0,0,0
NCT02537743,Prospective Patient Reported Outcomes (PRO) Registry in Patients With Advanced Renal Cell Carcinoma,COMPLETED,0,low risk,MISSING,OBSERVATIONAL,INDUSTRY,ALL,ACTUAL,98.0,4.59511985013459,1,0,1,1,209,122,2015.0,0,1,1,0,0,0
NCT06024343,"Minimally Invasive Pancreatic Enucleation With Main Pancreatic Duct Exposure, Repair or Reconstruction",COMPLETED,0,low risk,MISSING,INTERVENTIONAL,OTHER,ALL,ACTUAL,230.0,5.442417710521793,3,1,1,1,663,226,2019.0,0,1,1,0,0,0
NCT00467935,Scotoma Reduction in AMD Patients Treated With Ranibizumab,COMPLETED,0,low risk,PHASE1; PHASE2,INTERVENTIONAL,OTHER,ALL,ESTIMATED,20.0,3.044522437723423,1,1,1,1,121,143,2007.0,0,1,0,0,0,0
NCT06334978,The Effectiveness of Osteopathic Treatment in Cervical Whiplash.,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,OTHER,ALL,ACTUAL,52.0,3.970291913552122,4,1,1,1,1184,883,2021.0,0,1,1,0,0,0
NCT00851578,ASA Plavix Feasibility Study With WATCHMAN Left Atrial Appendage Closure Technology,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,INDUSTRY,ALL,ESTIMATED,150.0,5.017279836814924,1,1,4,2,368,183,2009.0,0,1,1,0,0,0
NCT04607278,The Effect of Probiotic and Prebiotic Use on Fibromyalgia Syndrome,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,OTHER,FEMALE,ACTUAL,53.0,3.9889840465642745,1,3,1,1,602,140,2019.0,1,1,1,0,0,0
NCT05077878,Analysis of Dentine Sialophosphoprotein (DSPP) for Root Resorption,COMPLETED,0,low risk,MISSING,OBSERVATIONAL,OTHER,ALL,ACTUAL,30.0,3.4339872044851463,1,1,1,1,184,346,2018.0,0,0,1,0,0,0
NCT02125578,A Multiple Dose Safety Study of PEG-IFN in Healthy Volunteers,COMPLETED,0,low risk,PHASE1,INTERVENTIONAL,INDUSTRY,ALL,ACTUAL,69.0,4.248495242049359,1,2,1,1,2085,262,2008.0,1,1,0,0,0,0
NCT03627078,Motor Interference Therapy For Traumatic Memories,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,OTHER,ALL,ACTUAL,28.0,3.367295829986474,2,2,1,1,556,292,2016.0,0,0,1,0,0,0
NCT03162978,Sprint to Fitness: Effect of Outcome Expectations on Responses to Interval Exercise Training,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,FED,ALL,ACTUAL,66.0,4.204692619390966,2,2,1,1,709,150,2017.0,0,1,1,0,0,0
NCT00004885,Fluorouracil and Leucovorin With or Without Irinotecan in Treating Patients With Metastatic Colorectal Cancer,COMPLETED,0,low risk,PHASE3,INTERVENTIONAL,NETWORK,ALL,ACTUAL,430.0,6.066108090103747,1,4,57,9,1569,455,1999.0,0,1,0,0,0,0
NCT04004585,A Sedentary Behaviour Reduction Intervention for People With COPD,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,OTHER,ALL,ACTUAL,21.0,3.091042453358316,1,1,1,1,324,667,2019.0,0,1,1,0,0,0
NCT02439385,Avastin/FOLFIRI in Combination With Curcumin in Colorectal Cancer Patients With Unresectable Metastasis,COMPLETED,0,low risk,PHASE2,INTERVENTIONAL,OTHER,ALL,ACTUAL,44.0,3.8066624897703196,1,2,0,0,1532,217,2015.0,0,1,0,0,0,0
NCT03939143,A Study to Investigate the Bioequivalence Test of DA-1229_01(A) at Fasting State,COMPLETED,0,low risk,PHASE1,INTERVENTIONAL,INDUSTRY,ALL,ACTUAL,34.0,3.5553480614894135,1,2,1,1,676,155,2019.0,0,1,0,0,0,0
NCT01586143,Clinical Study Comparing the Efficacy of Transbuccal Paracetamol 125 mg Versus Paracetamol Injection 1g in Slow Infusion IV in Patients With Acute Pain,COMPLETED,0,low risk,PHASE3,INTERVENTIONAL,OTHER,ALL,ACTUAL,43.0,3.784189633918261,1,2,1,1,1576,434,2012.0,1,1,0,0,0,0
NCT00150943,Stenting in Renal Dysfunction Caused by Atherosclerotic Renal Artery Stenosis,COMPLETED,0,low risk,PHASE3,INTERVENTIONAL,OTHER,ALL,MISSING,140.0,4.948759890378168,2,1,1,1,945,1463,2000.0,0,1,0,0,0,0
NCT01597115,ENhancing Maturation of Autogenous Arteriovenous Hemodialysis Access by Aggressive surveillaNCe With Duplex and Endovascular Treatment,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,OTHER,ALL,ACTUAL,150.0,5.017279836814924,1,1,1,1,416,573,2012.0,0,1,1,0,0,0
NCT03852615,Ovarian Reserve After Ovarian Torsion,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,OTHER_GOV,FEMALE,ACTUAL,81.0,4.406719247264253,1,2,1,1,236,603,2019.0,0,1,1,0,0,0
NCT05090215,Supervised Exercise for Post-surgery Colorectal Cancer Patients,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,OTHER,ALL,ACTUAL,21.0,3.091042453358316,2,5,1,1,1282,2387,2022.0,0,1,1,0,0,0
NCT03726515,CART-EGFRvIII + Pembrolizumab in GBM,COMPLETED,0,low risk,PHASE1,INTERVENTIONAL,OTHER,ALL,ACTUAL,7.0,2.0794415416798357,1,2,1,1,4347,222,2019.0,0,1,0,0,0,0
NCT01201915,A Study Evaluating the Efficacy and Safety of Vismodegib (GDC-0449) in Operable Basal Cell Carcinoma,COMPLETED,0,low risk,PHASE2,INTERVENTIONAL,INDUSTRY,ALL,ACTUAL,74.0,4.31748811353631,1,1,12,1,2451,139,2010.0,0,1,0,0,0,0
NCT03623243,"Safety and Tolerability of Conversion From Oral, Injectable, or Infusion Disease Modifying Therapies to Dose-titrated Oral Siponimod (Mayzent) in Advancing RMS Patients",COMPLETED,0,low risk,PHASE3,INTERVENTIONAL,INDUSTRY,ALL,ACTUAL,185.0,5.225746673713202,3,1,55,2,817,154,2019.0,0,1,0,0,0,0
NCT07254143,Clinical And Radiographic Efficacy Of MTA Flow In Apicoectomy,COMPLETED,0,low risk,MISSING,OBSERVATIONAL,OTHER,ALL,ACTUAL,16.0,2.833213344056216,1,1,1,1,406,510,2021.0,0,1,1,0,0,0
NCT01617343,The HEP-OKS Study - Hemifield Eye Patching and Optokinetic Stimulation to Treat Hemispatial Neglect in Stroke Patients,COMPLETED,0,low risk,PHASE3,INTERVENTIONAL,OTHER,ALL,ACTUAL,23.0,3.1780538303479458,2,1,1,1,378,959,2012.0,0,1,0,0,0,0
NCT00501215,Effect of Parathyroidectomy on Sleep,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,OTHER,ALL,ACTUAL,15.0,2.772588722239781,1,4,1,1,1138,1947,2007.0,0,1,1,0,0,0
NCT05121415,Investigation of Genetic Disease Marker Associated With Spontaneous Haemorrhagic Stroke Complicating Severe Pre-eclampsia in Pregnancy,COMPLETED,0,low risk,MISSING,OBSERVATIONAL,OTHER,FEMALE,ACTUAL,100.0,4.61512051684126,2,1,1,1,198,247,2021.0,0,1,1,0,0,0
NCT06024915,A Study to Evaluate Drug-Drug Interaction of TQ05105 Tablets,COMPLETED,0,low risk,PHASE1,INTERVENTIONAL,INDUSTRY,ALL,ACTUAL,40.0,3.713572066704308,1,3,1,1,3058,289,2023.0,0,1,0,0,0,0
NCT06478615,Coring Out Fistulectomy With Closure of Internal Sphincter Opening Versus Lay Open Fistulotomy and Primary Sphincter Repair in Transsphincteric Perianal Fistula,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,OTHER,ALL,ACTUAL,60.0,4.110873864173311,6,2,1,1,479,259,2022.0,0,1,1,0,0,0
NCT02469285,The Effect of Pork With Modified Fat Composition and Berries on Plasma Fatty Acids and Fecal Compounds in Healthy Adults,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,OTHER,ALL,ACTUAL,65.0,4.189654742026425,1,3,1,1,226,1098,2014.0,0,1,1,0,0,0
NCT01201343,Evaluation of Emotional Disorders During Treatment by Interferon Beta in Relapsing-remitting Multiple Sclerosis Patients,COMPLETED,0,low risk,PHASE4,INTERVENTIONAL,INDUSTRY,ALL,ACTUAL,79.0,4.382026634673881,1,1,0,0,838,283,2005.0,0,1,0,0,0,0
NCT00862043,Sildenafil for Secondary Pulmonary Hypertension Due to Valvular Disease,COMPLETED,0,low risk,PHASE4,INTERVENTIONAL,OTHER,ALL,ACTUAL,200.0,5.303304908059076,2,2,18,1,1564,213,2009.0,1,1,0,0,0,0
NCT04698343,Noninvasive Peripheral Nerve Stimulation for Restless Legs Syndrome During Opioid Medication Reduction,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,INDUSTRY,ALL,ACTUAL,21.0,3.091042453358316,1,1,2,1,3978,256,2021.0,0,1,1,0,0,0
NCT04095143,Ultrasound Markers of Organ Congestion in Severe Acute Kidney Injury,COMPLETED,0,low risk,MISSING,OBSERVATIONAL,OTHER,ALL,ACTUAL,125.0,4.836281906951478,3,7,6,2,1587,533,2018.0,0,1,1,0,0,0
NCT01541943,Efficacy and Safety of HL-040XC in Essential Hypertension and Hyperlipidemia,COMPLETED,0,low risk,PHASE3,INTERVENTIONAL,INDUSTRY,ALL,ACTUAL,356.0,5.877735781779639,2,4,1,1,372,131,2012.0,1,1,0,0,0,0
NCT07498543,Impact of Clinical and Psychological Factors on Satisfaction With Treatment in Psoriatic Patients on Biological Therapy,COMPLETED,0,low risk,MISSING,OBSERVATIONAL,OTHER,ALL,ACTUAL,52.0,3.970291913552122,1,1,1,1,544,1007,2023.0,0,1,1,0,0,0
NCT00998543,A Long-Term Study of Healthy Adults Vaccinated With One Dose of Smallpox Vaccine (LISTER Strain),COMPLETED,0,low risk,MISSING,OBSERVATIONAL,INDUSTRY,ALL,ACTUAL,147.0,4.997212273764115,1,0,5,1,377,399,2006.0,0,1,1,0,0,0
NCT04387643,Protecting Health Care Workers During the COVID-19 Outbreak,COMPLETED,0,low risk,MISSING,OBSERVATIONAL,OTHER,ALL,ACTUAL,52.0,3.970291913552122,1,1,1,1,233,473,2020.0,0,1,1,0,0,0
NCT06066515,A Study to Test Whether Survodutide (BI 456906) Helps People Living With Overweight or Obesity Who do Not Have Diabetes to Lose Weight,COMPLETED,0,low risk,PHASE3,INTERVENTIONAL,INDUSTRY,ALL,ACTUAL,726.0,6.588926477533519,1,2,118,14,2313,1435,2023.0,1,1,0,0,0,0
NCT04143815,Clinical Trial to Evaluate the Efficacy and Safety of MBA-P01 in Treatment of Glabellar Lines,COMPLETED,0,low risk,PHASE2,INTERVENTIONAL,INDUSTRY,ALL,ACTUAL,200.0,5.303304908059076,1,2,1,1,302,258,2019.0,1,1,0,0,0,0
NCT00979615,Safety and Efficacy of Olopatadine 0.6% and Azelastine 137 Mcg in Vasomotor Rhinitis,COMPLETED,0,low risk,PHASE4,INTERVENTIONAL,INDUSTRY,ALL,ACTUAL,129.0,4.867534450455582,1,2,1,1,539,150,2009.0,0,0,0,0,0,0
NCT04908215,INM-755 (Cannabinol) Cream for Treatment of Epidermolysis Bullosa,COMPLETED,0,low risk,PHASE2,INTERVENTIONAL,INDUSTRY,ALL,ACTUAL,19.0,2.995732273553991,4,2,7,5,2569,231,2021.0,0,0,0,0,0,0
NCT01711515,Chemoradiation Therapy and Ipilimumab in Treating Patients With Stages IB2-IIB or IIIB-IVA Cervical Cancer,COMPLETED,0,low risk,PHASE1,INTERVENTIONAL,NIH,FEMALE,ACTUAL,34.0,3.5553480614894135,9,5,16,1,4313,675,2012.0,0,1,0,0,0,0
NCT00312715,Thyroid and Fat Tissue Metabolism,COMPLETED,0,low risk,MISSING,OBSERVATIONAL,NIH,ALL,ACTUAL,41.0,3.7376696182833684,1,0,1,1,1459,1995,2006.0,0,1,1,0,0,0
NCT01534715,IMGN529 in Treating Patients With Relapsed or Refractory Non-Hodgkin's Lymphoma and Chronic Lymphocytic Leukemia,COMPLETED,0,low risk,PHASE1,INTERVENTIONAL,INDUSTRY,ALL,ACTUAL,49.0,3.912023005428146,2,1,7,2,540,184,2012.0,0,1,0,0,0,0
NCT02466035,Epigenetic Effects Involved in Children With Cow's Milk Allergy (EPICMA),COMPLETED,0,low risk,MISSING,INTERVENTIONAL,OTHER,ALL,ACTUAL,20.0,3.044522437723423,1,1,1,1,722,2683,2014.0,0,0,1,0,0,0
NCT02765035,C-Leg 3 and C-Leg 4 Study in Transfemoral Amputees,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,INDUSTRY,ALL,ACTUAL,18.0,2.9444389791664403,1,2,2,2,2093,349,2016.0,0,1,1,0,0,0
NCT05622435,Clinical Investigation to Evaluate the Tolerance of T10070 on Healthy Volunteers,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,INDUSTRY,ALL,ACTUAL,39.0,3.6888794541139363,1,1,1,1,634,595,2022.0,0,1,1,0,0,0
NCT05024435,Evaluation of Semi-rigid and Flexible Catheters for Less Invasive Surfactant Administration in Preterm Infants,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,OTHER,ALL,ACTUAL,31.0,3.4657359027997265,2,1,1,1,1081,129,2019.0,0,0,1,0,0,0
NCT00641108,Effects of Cognitive Behavioral Therapy on Brain Serotonin Activity in People With Depression,COMPLETED,0,low risk,PHASE2; PHASE3,INTERVENTIONAL,OTHER,ALL,ACTUAL,30.0,3.4339872044851463,1,2,1,1,1785,145,2008.0,0,1,0,0,0,0
NCT06132308,Evaluation of PENG Block in Terms of Block Time and Postoperative Pain,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,OTHER_GOV,ALL,ACTUAL,60.0,4.110873864173311,1,1,2,1,306,646,2023.0,0,1,1,0,0,0
NCT05348408,Efficacy of Peri-neural Platelet Rich Plasma Injection in Treatment of Chemotherapy Induced Peripheral Neuropathy,COMPLETED,0,low risk,PHASE2,INTERVENTIONAL,OTHER,ALL,ACTUAL,62.0,4.143134726391533,1,1,1,1,738,165,2022.0,0,1,0,0,0,0
NCT01077908,Cytomegalovirus - Immunoprophylactic Adoptive Cellular Therapy Study,COMPLETED,0,low risk,PHASE3,INTERVENTIONAL,INDUSTRY,ALL,ACTUAL,89.0,4.499809670330265,1,2,14,1,1060,269,2008.0,0,1,0,0,0,0
NCT00144508,Phase III Comparative Study(Open-Label) of MRA for Rheumatoid Arthritis(RA),COMPLETED,0,low risk,PHASE3,INTERVENTIONAL,INDUSTRY,ALL,ACTUAL,306.0,5.726847747587197,1,2,0,0,1297,132,2003.0,0,1,0,0,0,0
NCT05430308,Surgical Site Preparation in Subjects Undergoing Medical Thoracoscopy,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,OTHER,ALL,ACTUAL,100.0,4.61512051684126,1,2,2,1,662,712,2022.0,0,1,1,0,0,0
NCT01713608,A Dose-escalation Study to Investigate Safety and Toleration of OZ439,COMPLETED,0,low risk,PHASE1,INTERVENTIONAL,OTHER,ALL,ACTUAL,34.0,3.5553480614894135,1,1,1,1,4552,402,2012.0,1,1,0,0,0,0
NCT04028908,Remodelling After Trampoline Fracture in Children,COMPLETED,0,low risk,MISSING,OBSERVATIONAL,OTHER,ALL,ACTUAL,86.0,4.465908118654584,2,1,2,1,140,478,2016.0,0,0,1,0,0,0
NCT05887908,Efficacy and Safety of Cefepime/Nacubactam or Aztreonam/Nacubactam Compared to Imipenem/Cilastatin in Subjects With Complicated Urinary Tract Infections or Acute Uncomplicated Pyelonephritis,COMPLETED,0,low risk,PHASE3,INTERVENTIONAL,INDUSTRY,ALL,ACTUAL,614.0,6.421622267806518,4,3,61,9,1403,236,2023.0,0,1,0,0,0,0
NCT05358925,Psychoeducational Videos and Digital Assessments for BPD,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,OTHER,ALL,ACTUAL,83.0,4.430816798843313,1,3,1,1,636,944,2023.0,0,1,1,0,0,0
NCT04439825,Impact of Botox Treatment Into the Upper One Third of the Face an Area on Mood and Self -Appearance Satisfaction,COMPLETED,0,low risk,PHASE1,INTERVENTIONAL,OTHER,ALL,ACTUAL,45.0,3.828641396489095,1,2,1,1,1216,209,2020.0,1,0,0,0,0,0
NCT00550225,Succinate Salt Version of GSK961081 for Healthy Volunteers,COMPLETED,0,low risk,PHASE1,INTERVENTIONAL,INDUSTRY,MALE,ACTUAL,18.0,2.9444389791664403,1,2,1,1,1485,33,2007.0,1,1,0,0,0,0
NCT00877825,The Influence of Soy Isoflavnoids on the Hypocholesterolemic Effects of Soy,COMPLETED,0,low risk,PHASE2,INTERVENTIONAL,OTHER,ALL,MISSING,,,2,1,0,0,465,612,,0,1,0,0,0,0
NCT01760525,A Phase I Dose Escalation Study of CGM097 in Adult Patients With Selected Advanced Solid Tumors,COMPLETED,0,low risk,PHASE1,INTERVENTIONAL,INDUSTRY,ALL,ACTUAL,51.0,3.9512437185814275,1,1,5,5,892,598,2013.0,0,1,0,0,0,0
NCT00100776,Efficacy of High Dose Olanzapine for the Treatment of Schizophrenia and Schizoaffective Disorder,COMPLETED,0,low risk,PHASE4,INTERVENTIONAL,INDUSTRY,ALL,MISSING,600.0,6.398594934535208,2,1,33,1,793,246,2003.0,0,1,0,0,0,0
NCT01794676,Genetic Evaluation of Families With Endocrine Cancers,COMPLETED,0,low risk,MISSING,OBSERVATIONAL,OTHER,ALL,ACTUAL,9.0,2.302585092994046,4,1,1,1,279,381,2013.0,0,0,1,0,0,0
NCT04232176,"Precision of Optical Diagnosis in Polyps Between 5-15 mm and Its Implications on Surveillance. A Prospective, Multicenter Study.",COMPLETED,0,low risk,MISSING,OBSERVATIONAL,OTHER,ALL,ACTUAL,545.0,6.302618975744905,4,0,1,1,454,370,2019.0,0,1,1,0,0,0
NCT06076876,Prevalence and Risk Factors of Anxiety and Depression Among Policemen During the Health Crisis Linked to COVID-19,COMPLETED,0,low risk,MISSING,OBSERVATIONAL,OTHER,ALL,ACTUAL,600.0,6.398594934535208,4,0,1,1,377,1082,2023.0,0,1,1,0,0,0
NCT05038176,Improving the Diabetic Health of Black Men: MANUP Feasibility Trial,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,OTHER,MALE,ACTUAL,50.0,3.9318256327243257,4,1,1,1,358,940,2022.0,0,1,1,0,0,0
NCT04238676,Persica 002 Phase 1b PP353 vs Placebo in the Treatment of Low Back Pain,COMPLETED,0,low risk,PHASE1; PHASE2,INTERVENTIONAL,INDUSTRY,ALL,ACTUAL,43.0,3.784189633918261,1,2,10,4,1655,144,2020.0,1,1,0,0,0,0
NCT03522376,Inspiratory Muscle Activation Patterns in Patients With Chronic Obstructive Pulmonary Disease,COMPLETED,0,low risk,MISSING,OBSERVATIONAL,OTHER,ALL,ACTUAL,30.0,3.4339872044851463,1,1,1,1,700,903,2018.0,0,1,1,0,0,0
NCT04290676,DEXYCU (Dexamethasone Intraocular Suspension) 9% Retrospective Study 001,COMPLETED,0,low risk,MISSING,OBSERVATIONAL,INDUSTRY,ALL,ACTUAL,527.0,6.269096283706261,1,1,22,1,251,103,2019.0,0,1,1,0,0,0
NCT01200576,A Prospective Observational Study of the Clinical Performance of Zarin in Madagascar,COMPLETED,0,low risk,MISSING,OBSERVATIONAL,OTHER,FEMALE,ACTUAL,621.0,6.432940092739179,1,0,1,1,266,487,2010.0,0,0,1,0,0,0
NCT07162376,How Clinical and Personal Information Shape Physicians' Risk Judgments,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,OTHER,ALL,ACTUAL,300.0,5.707110264748875,1,1,1,1,406,1873,2025.0,0,1,1,0,0,0
NCT05221476,Red Blood Cell Distribution Width and Charlson Comorbidity Indeces in the Frail Polytraumatized Patient.,COMPLETED,0,low risk,MISSING,OBSERVATIONAL,OTHER,ALL,ACTUAL,400.0,5.993961427306569,3,1,0,0,244,347,2012.0,0,1,1,0,0,0
NCT03472976,H5N1 With or Without Topical Aldara in Healthy Adults,COMPLETED,0,low risk,PHASE1,INTERVENTIONAL,NIH,ALL,ACTUAL,50.0,3.9318256327243257,2,3,1,1,8346,1281,2018.0,1,1,0,0,0,0
NCT04078776,Systemic and White Adipose Tissue Inflammatory Profile in Lean Versus Obese Individuals,COMPLETED,0,low risk,MISSING,OBSERVATIONAL,OTHER,ALL,ACTUAL,12.0,2.5649493574615367,4,1,1,1,1295,748,2019.0,0,1,1,0,0,0
NCT02360917,Emerging From the Haze™- Measuring the Impact of a Psycho-education Program on Perceived Cognition After Breast Cancer Treatment,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,OTHER,FEMALE,ACTUAL,31.0,3.4657359027997265,2,1,1,1,1581,648,2015.0,0,1,1,0,0,0
NCT04652817,Evaluation of the Efficacy and Safety of the Dermal Filler for Augmentation of Labia Majora.,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,INDUSTRY,FEMALE,ACTUAL,35.0,3.58351893845611,1,1,1,1,2521,273,2019.0,0,1,1,0,0,0
NCT04460417,Chicago Community Health Study,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,OTHER,ALL,ACTUAL,204.0,5.3230099791384085,1,2,1,1,547,573,2017.0,0,1,1,0,0,0
NCT01228617,Single-dose Pharmacokinetics of Oral Nicotine Replacement Products,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,INDUSTRY,ALL,ACTUAL,40.0,3.713572066704308,1,2,1,1,620,107,2007.0,0,1,1,0,0,0
NCT01736917,Fosaprepitant + 5HT3 Receptor Antagonists + Dexamethasone in Germ Cell Tumors,COMPLETED,0,low risk,PHASE2,INTERVENTIONAL,OTHER,MALE,ACTUAL,65.0,4.189654742026425,1,3,4,1,2069,815,2013.0,0,0,0,0,0,0
NCT05975840,Safety and Immunogenicity of Different Formulations of Monovalent Influenza A/Astrakhan/3212/2020 Like (H5N8) Virus Vaccine With AS03 Adjuvant System in Medically Stable Adults,COMPLETED,0,low risk,PHASE1; PHASE2,INTERVENTIONAL,INDUSTRY,ALL,ACTUAL,518.0,6.251903883165888,1,4,20,1,4035,242,2023.0,0,1,0,0,0,0
NCT01228240,The Efficacy of Metformin Produced by Pars Mino Co in Comparison With Canadian Apotex Co.,COMPLETED,0,low risk,PHASE4,INTERVENTIONAL,OTHER,FEMALE,ACTUAL,18.0,2.9444389791664403,1,1,0,0,172,1009,2008.0,0,1,0,0,0,0
NCT04690140,Can Modified Coronally Advanced Tunnel be an Alternative in Gingival Phenotype Modification?,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,OTHER,ALL,ACTUAL,50.0,3.9318256327243257,1,2,1,1,592,698,2019.0,0,1,1,0,0,0
NCT01731340,A Study on the Impact of Calcium on Woman's Vascular Health,COMPLETED,0,low risk,PHASE4,INTERVENTIONAL,OTHER,FEMALE,ACTUAL,123.0,4.820281565605037,2,3,1,1,1321,232,2012.0,0,1,0,0,0,0
NCT06387940,Acute Metabolic Effects of Carbohydrate Restriction at Varying Energy Levels,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,OTHER,ALL,ACTUAL,12.0,2.5649493574615367,1,3,1,1,404,166,2019.0,0,1,1,0,0,0
NCT01876940,Comparison of Fiberoptic Intubation With Fiberoptic Intubation Through an Air-Q Intubating Laryngeal Airway in Infants and Small Children,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,OTHER,ALL,ACTUAL,80.0,4.394449154672439,1,2,1,1,450,478,2013.0,0,0,1,0,0,0
